market_id,slug,question,n_outcomes
694934,will-irobot-be-acquired-before-2027-115-666,Will iRobot be acquired before 2027?,1
694938,will-viking-therapeutics-be-acquired-before-2027-542-549,Will Viking Therapeutics be acquired before 2027?,1
694935,will-zoom-video-communications-be-acquired-before-2027-486-866,Will Zoom Video Communications be acquired before 2027?,1
694939,will-ubisoft-be-acquired-before-2027-175-488,Will Ubisoft be acquired before 2027?,1
694932,will-snapchat-be-acquired-before-2027-286-465,Will Snapchat be acquired before 2027?,1
694936,will-nebius-group-be-acquired-before-2027-514-765,Will Nebius Group be acquired before 2027?,1
694940,will-gitlab-be-acquired-before-2027-944-667,Will GitLab be acquired before 2027?,1
694933,will-warner-bros-discovery-be-acquired-before-2027-737-838,Will Warner Bros. Discovery be acquired before 2027?,1
694937,will-bp-be-acquired-before-2027-549-844,Will BP be acquired before 2027?,1
694941,will-pizza-hut-be-acquired-before-2027-514-731,Will Pizza Hut be acquired before 2027?,1
700395,will-lovable-be-acquired-before-2027-423-881,Will Lovable be acquired before 2027?,1
700397,will-anthropic-be-acquired-before-2027-142-515,Will Anthropic be acquired before 2027?,1
700398,will-openai-be-acquired-before-2027-859,Will OpenAI be acquired before 2027?,1
700396,will-perplexity-ai-be-acquired-before-2027-776-526,Will Perplexity AI be acquired before 2027?,1
1560646,will-caesars-entertainment-inc-be-acquired-before-2027-448,"Will Caesars Entertainment, Inc. be acquired before 2027?",1
1544502,will-paypal-be-acquired-before-2027-143,Will PayPal be acquired before 2027?,1
1972155,will-cursor-be-acquired-before-2027-459,Will Cursor be acquired before 2027?,1
2244932,will-brown-forman-be-acquired-before-2027,Will Brown-Forman be acquired before 2027?,1
676777,discord-ipo-before-2027,Discord IPO before 2027?,1
676779,ripple-labs-ipo-before-2027,Ripple Labs IPO before 2027?,1
676781,ramp-ipo-before-2027,Ramp IPO before 2027?,1
676783,vanta-ipo-before-2027,Vanta IPO before 2027?,1
676785,openai-ipo-before-2027,OpenAI IPO before 2027?,1
676787,rippling-ipo-before-2027,Rippling IPO before 2027?,1
676789,remote-ipo-before-2027,Remote IPO before 2027?,1
676791,deel-ipo-before-2027,Deel IPO before 2027?,1
676793,glean-ipo-before-2027,Glean IPO before 2027?,1
676795,spacex-space-exploration-technologies-corp-ipo-before-2027,SpaceX (Space Exploration Technologies Corp.) IPO before 2027?,1
676797,applied-intuition-ipo-before-2027,Applied Intuition IPO before 2027?,1
676799,freddie-mac-ipo-before-2027,Freddie Mac IPO before 2027?,1
676801,once-upon-a-farm-ipo-before-2027,Once Upon a Farm IPO before 2027?,1
676778,stripe-ipo-before-2027,Stripe IPO before 2027?,1
676780,cerebras-ipo-before-2027,Cerebras IPO before 2027?,1
676782,celonis-ipo-before-2027,Celonis IPO before 2027?,1
676784,anduril-ipo-before-2027,Anduril IPO before 2027?,1
676786,brex-ipo-before-2027,Brex IPO before 2027?,1
676788,anysphere-cursor-ipo-before-2027,Anysphere (Cursor) IPO before 2027?,1
676790,mistral-ai-ipo-before-2027,Mistral AI IPO before 2027?,1
676792,anthropic-ipo-before-2027,Anthropic IPO before 2027?,1
676794,xai-ipo-before-2027,xAI IPO before 2027?,1
676796,databricks-ipo-before-2027,Databricks IPO before 2027?,1
676798,fannie-mae-ipo-before-2027,Fannie Mae IPO before 2027?,1
676800,wealthfront-ipo-before-2027,Wealthfront IPO before 2027?,1
1321740,waymo-ipo-before-2027,Waymo IPO before 2027?,1
1321865,anduril-industries-ipo-before-2027,Anduril Industries IPO before 2027?,1
1321654,bytedance-ipo-before-2027,ByteDance IPO before 2027?,1
1321867,epic-games-ipo-before-2027,Epic Games IPO before 2027?,1
1321653,shein-ipo-before-2027,SHEIN IPO before 2027?,1
1321771,revolut-ipo-before-2027,Revolut IPO before 2027?,1
1321866,canva-ipo-before-2027,Canva IPO before 2027?,1
1321868,ledger-ipo-before-2027,Ledger IPO before 2027?,1
1808754,whoop-ipo-before-2027,WHOOP IPO before 2027?,1
909466,spacex-ipo-closing-market-cap-above-1t-274-469,SpaceX IPO closing market cap above $1T?,1
909467,spacex-ipo-closing-market-cap-above-1pt4t-128-653,SpaceX IPO closing market cap above $1.4T?,1
909468,spacex-ipo-closing-market-cap-above-1pt2t-797-138,SpaceX IPO closing market cap above $1.2T?,1
915769,spacex-ipo-closing-market-cap-above-1pt6t-514-594-116,SpaceX IPO closing market cap above $1.6T?,1
915771,spacex-ipo-closing-market-cap-above-1pt8t-631-261,SpaceX IPO closing market cap above $1.8T?,1
915770,spacex-ipo-closing-market-cap-above-2t-649-783,SpaceX IPO closing market cap above $2T?,1
1326777,spacex-ipo-closing-market-cap-above-2pt2t-391-286-145,SpaceX IPO closing market cap above $2.2T?,1
1326778,spacex-ipo-closing-market-cap-above-2pt4t-574-858-552,SpaceX IPO closing market cap above $2.4T?,1
1326787,spacex-ipo-closing-market-cap-above-3t-337-436,SpaceX IPO closing market cap above $3T?,1
