market_id,slug,question,n_outcomes
573827,will-claude-5-be-released-by-december-31-266-113-228,Will Claude 5 be released by December 31?,1
573828,will-claude-5-be-released-by-march-31-2026-243-489-141-184,"Will Claude 5 be released by March 31, 2026?",1
1320787,will-claude-5-be-released-by-february-28-2026-352-784,"Will Claude 5 be released by February 28, 2026?",1
1333241,will-claude-5-be-released-by-february-14-2026-449,"Will Claude 5 be released by February 14, 2026?",1
1336694,will-claude-5-be-released-by-february-6-2026-173-394,"Will Claude 5 be released by February 6, 2026?",1
1363116,will-claude-5-be-released-by-april-30-2026,"Will Claude 5 be released by April 30, 2026?",1
1363115,will-claude-5-be-released-by-march-15-2026,"Will Claude 5 be released by March 15, 2026?",1
1748641,will-claude-5-be-released-by-may-31-2026,"Will Claude 5 be released by May 31, 2026?",1
1748840,will-claude-5-be-released-by-june-30-2026,"Will Claude 5 be released by June 30, 2026?",1
2169806,will-claude-5-be-released-by-september-30-2026,"Will Claude 5 be released by September 30, 2026?",1
1162139,fda-approves-retatrutide-this-year,FDA approves Retatrutide this year?,1
1743765,will-a-claude-mythos-model-be-released-by-march-31-2026,"Will a Claude Mythos model be released by March 31, 2026?",1
1743767,will-a-claude-mythos-model-be-released-by-april-30-2026-817-186,"Will a Claude Mythos model be released by April 30, 2026?",1
1744124,will-a-claude-mythos-model-be-released-by-june-30-2026-684,"Will a Claude Mythos model be released by June 30, 2026?",1
573825,will-gpt-6-be-released-by-december-31,Will GPT-6 be released by December 31?,1
573826,will-gpt-6-be-released-by-march-31-2026,"Will GPT-6 be released by March 31, 2026?",1
676828,will-gpt-6-be-released-by-june-30-2026,"Will GPT-6 be released by June 30, 2026?",1
676829,will-gpt-6-be-released-by-december-31-2026-834,"Will GPT-6 be released by December 31, 2026?",1
1333258,will-gpt-6-be-released-by-september-30-2026,"Will GPT-6 be released by September 30, 2026?",1
546611,will-openai-launch-a-new-consumer-hardware-product-in-2025,Will OpenAI launch a new consumer hardware product in 2025?,1
546612,will-openai-launch-a-new-consumer-hardware-product-by-march-31-2026,"Will OpenAI launch a new consumer hardware product by March 31, 2026?",1
676804,will-openai-launch-a-new-consumer-hardware-product-by-december-31-2026,"Will OpenAI launch a new consumer hardware product by December 31, 2026?",1
