market_id,cluster_id,cluster_label
694934,6,Acquisitions / M&A
694938,6,Acquisitions / M&A
694935,6,Acquisitions / M&A
694939,6,Acquisitions / M&A
694932,6,Acquisitions / M&A
694936,6,Acquisitions / M&A
694940,6,Acquisitions / M&A
694933,6,Acquisitions / M&A
694937,6,Acquisitions / M&A
694941,6,Acquisitions / M&A
700395,6,Acquisitions / M&A
700397,6,Acquisitions / M&A
700398,6,Acquisitions / M&A
700396,6,Acquisitions / M&A
1560646,6,Acquisitions / M&A
1544502,6,Acquisitions / M&A
1972155,6,Acquisitions / M&A
2244932,6,Acquisitions / M&A
676777,3,IPOs (timing & valuation)
676779,3,IPOs (timing & valuation)
676781,3,IPOs (timing & valuation)
676783,3,IPOs (timing & valuation)
676785,0,OpenAI
676787,3,IPOs (timing & valuation)
676789,3,IPOs (timing & valuation)
676791,3,IPOs (timing & valuation)
676793,3,IPOs (timing & valuation)
676795,2,SpaceX
676797,3,IPOs (timing & valuation)
676799,3,IPOs (timing & valuation)
676801,3,IPOs (timing & valuation)
676778,3,IPOs (timing & valuation)
676780,3,IPOs (timing & valuation)
676782,3,IPOs (timing & valuation)
676784,3,IPOs (timing & valuation)
676786,3,IPOs (timing & valuation)
676788,3,IPOs (timing & valuation)
676790,3,IPOs (timing & valuation)
676792,3,IPOs (timing & valuation)
676794,3,IPOs (timing & valuation)
676796,3,IPOs (timing & valuation)
676798,3,IPOs (timing & valuation)
676800,3,IPOs (timing & valuation)
1321740,3,IPOs (timing & valuation)
1321865,3,IPOs (timing & valuation)
1321654,3,IPOs (timing & valuation)
1321867,3,IPOs (timing & valuation)
1321653,3,IPOs (timing & valuation)
1321771,3,IPOs (timing & valuation)
1321866,3,IPOs (timing & valuation)
1321868,3,IPOs (timing & valuation)
1808754,3,IPOs (timing & valuation)
909466,2,SpaceX
909467,2,SpaceX
909468,2,SpaceX
915769,2,SpaceX
915771,2,SpaceX
915770,2,SpaceX
1326777,2,SpaceX
1326778,2,SpaceX
1326787,2,SpaceX
2308005,2,SpaceX
2308008,2,SpaceX
2308007,2,SpaceX
2308003,2,SpaceX
2308006,2,SpaceX
2308024,2,SpaceX
2308023,2,SpaceX
1203147,6,Acquisitions / M&A
1250581,2,SpaceX
1250582,2,SpaceX
1250583,2,SpaceX
1250584,2,SpaceX
1720967,2,SpaceX
1720968,2,SpaceX
1720969,2,SpaceX
1971078,2,SpaceX
692245,4,AI model capability
691336,4,AI model capability
691340,4,AI model capability
1372532,11,Epstein island visitors
1370724,11,Epstein island visitors
1370726,11,Epstein island visitors
1370728,11,Epstein island visitors
1370730,11,Epstein island visitors
1370732,11,Epstein island visitors
1370734,11,Epstein island visitors
1370736,11,Epstein island visitors
1370738,11,Epstein island visitors
1370723,11,Epstein island visitors
1370725,11,Epstein island visitors
1370727,11,Epstein island visitors
1370729,11,Epstein island visitors
1370731,11,Epstein island visitors
1370733,11,Epstein island visitors
1370735,11,Epstein island visitors
1370737,11,Epstein island visitors
1370739,11,Epstein island visitors
