market_id,cluster_id,cluster_label
521532,14,Starmer out as UK PM
597967,14,Starmer out as UK PM
666655,14,Starmer out as UK PM
1336699,14,Starmer out as UK PM
1359701,14,Starmer out as UK PM
1500922,14,Starmer out as UK PM
2002685,14,Starmer out as UK PM
2231205,14,Starmer out as UK PM
2251595,14,Starmer out as UK PM
2365093,14,Starmer out as UK PM
2365092,14,Starmer out as UK PM
2128535,13,Jeffrey Epstein revelations
2128536,13,Jeffrey Epstein revelations
1559394,30,Trump removal/impeachment
689356,13,Jeffrey Epstein revelations
996893,13,Jeffrey Epstein revelations
2306062,13,Jeffrey Epstein revelations
2097472,30,Trump removal/impeachment
648383,39,California wealth tax 2026
562811,13,Jeffrey Epstein revelations
1057348,13,Jeffrey Epstein revelations
1057349,13,Jeffrey Epstein revelations
1046978,38,Tim Walz tenure / charges
1046979,38,Tim Walz tenure / charges
1066009,38,Tim Walz tenure / charges
1059772,13,Jeffrey Epstein revelations
517231,34,Macron out as French President
597964,34,Macron out as French President
623939,34,Macron out as French President
1420244,28,Kash Patel out as FBI Director
1420294,28,Kash Patel out as FBI Director
1795655,28,Kash Patel out as FBI Director
1838758,28,Kash Patel out as FBI Director
2099041,28,Kash Patel out as FBI Director
948387,7,Trump administration departures
948610,7,Trump administration departures
948639,7,Trump administration departures
948640,7,Trump administration departures
948641,7,Trump administration departures
948642,7,Trump administration departures
676450,7,Trump administration departures
666657,7,Trump administration departures
666659,7,Trump administration departures
666661,7,Trump administration departures
666663,7,Trump administration departures
666665,7,Trump administration departures
666667,7,Trump administration departures
666658,7,Trump administration departures
666660,7,Trump administration departures
666662,7,Trump administration departures
666664,7,Trump administration departures
666666,7,Trump administration departures
972263,7,Trump administration departures
1896597,7,Trump administration departures
1117274,27,Insurrection Act invoked
1117273,27,Insurrection Act invoked
1117275,27,Insurrection Act invoked
1192770,27,Insurrection Act invoked
1632273,27,Insurrection Act invoked
581639,19,French snap election called
581644,19,French snap election called
623307,19,French snap election called
623607,19,French snap election called
623608,19,French snap election called
644804,19,French snap election called
651769,19,French snap election called
825441,0,2026 US Governor primaries
825443,0,2026 US Governor primaries
825445,0,2026 US Governor primaries
825447,0,2026 US Governor primaries
825449,0,2026 US Governor primaries
825451,0,2026 US Governor primaries
825453,0,2026 US Governor primaries
825455,0,2026 US Governor primaries
825457,0,2026 US Governor primaries
825459,0,2026 US Governor primaries
825461,0,2026 US Governor primaries
825463,0,2026 US Governor primaries
825465,0,2026 US Governor primaries
825467,0,2026 US Governor primaries
825469,0,2026 US Governor primaries
825471,0,2026 US Governor primaries
825473,0,2026 US Governor primaries
825442,0,2026 US Governor primaries
825444,0,2026 US Governor primaries
825446,0,2026 US Governor primaries
825448,0,2026 US Governor primaries
825450,0,2026 US Governor primaries
825452,0,2026 US Governor primaries
825454,0,2026 US Governor primaries
825456,0,2026 US Governor primaries
825458,0,2026 US Governor primaries
825460,0,2026 US Governor primaries
825462,0,2026 US Governor primaries
825464,0,2026 US Governor primaries
825466,0,2026 US Governor primaries
825468,0,2026 US Governor primaries
825470,0,2026 US Governor primaries
825472,0,2026 US Governor primaries
954966,0,2026 US Governor primaries
1237410,0,2026 US Governor primaries
1559772,0,2026 US Governor primaries
568116,30,Trump removal/impeachment
619169,32,GOP nuclear option (filibuster)
657471,32,GOP nuclear option (filibuster)
677320,32,GOP nuclear option (filibuster)
1090190,32,GOP nuclear option (filibuster)
566760,4,Trump pardons (before 2027)
884888,5,US political arrests (before 2027)
1046969,5,US political arrests (before 2027)
2126997,44,Sinaloa Governor tenure (Rocha)
2326049,44,Sinaloa Governor tenure (Rocha)
1403679,36,Romanian PM tenure (Bolojan)
2158709,36,Romanian PM tenure (Bolojan)
2166347,36,Romanian PM tenure (Bolojan)
1553247,21,SAVE Act becomes law
1553248,21,SAVE Act becomes law
2097633,21,SAVE Act becomes law
2365109,21,SAVE Act becomes law
568117,30,Trump removal/impeachment
665209,30,Trump removal/impeachment
601921,12,Brazil presidential election
601922,12,Brazil presidential election
601923,12,Brazil presidential election
601924,12,Brazil presidential election
601925,12,Brazil presidential election
898654,12,Brazil presidential election
631317,26,French PM tenure (Lecornu)
631316,26,French PM tenure (Lecornu)
651772,26,French PM tenure (Lecornu)
813507,26,French PM tenure (Lecornu)
813508,26,French PM tenure (Lecornu)
1316930,13,Jeffrey Epstein revelations
734792,1,Trump state visits 2026
734802,1,Trump state visits 2026
734813,1,Trump state visits 2026
734823,1,Trump state visits 2026
734834,1,Trump state visits 2026
734844,1,Trump state visits 2026
734859,1,Trump state visits 2026
734870,1,Trump state visits 2026
734873,1,Trump state visits 2026
734875,1,Trump state visits 2026
734877,1,Trump state visits 2026
734879,1,Trump state visits 2026
734881,1,Trump state visits 2026
734883,1,Trump state visits 2026
734885,1,Trump state visits 2026
734887,1,Trump state visits 2026
734889,1,Trump state visits 2026
734891,1,Trump state visits 2026
734893,1,Trump state visits 2026
734895,1,Trump state visits 2026
734897,1,Trump state visits 2026
734899,1,Trump state visits 2026
734901,1,Trump state visits 2026
734903,1,Trump state visits 2026
734905,1,Trump state visits 2026
734796,1,Trump state visits 2026
734808,1,Trump state visits 2026
734816,1,Trump state visits 2026
734828,1,Trump state visits 2026
734839,1,Trump state visits 2026
734852,1,Trump state visits 2026
734865,1,Trump state visits 2026
734872,1,Trump state visits 2026
734874,1,Trump state visits 2026
734876,1,Trump state visits 2026
734878,1,Trump state visits 2026
734880,1,Trump state visits 2026
734882,1,Trump state visits 2026
734884,1,Trump state visits 2026
734886,1,Trump state visits 2026
734888,1,Trump state visits 2026
734890,1,Trump state visits 2026
734892,1,Trump state visits 2026
734894,1,Trump state visits 2026
734896,1,Trump state visits 2026
734898,1,Trump state visits 2026
734900,1,Trump state visits 2026
734902,1,Trump state visits 2026
734904,1,Trump state visits 2026
734906,1,Trump state visits 2026
2125853,6,2026 congressional redistricting maps
2125859,6,2026 congressional redistricting maps
2125861,6,2026 congressional redistricting maps
2125863,6,2026 congressional redistricting maps
2125873,6,2026 congressional redistricting maps
2125854,6,2026 congressional redistricting maps
2125856,6,2026 congressional redistricting maps
2125857,6,2026 congressional redistricting maps
2125860,6,2026 congressional redistricting maps
2125865,6,2026 congressional redistricting maps
2125868,6,2026 congressional redistricting maps
2125870,6,2026 congressional redistricting maps
2125872,6,2026 congressional redistricting maps
2125855,6,2026 congressional redistricting maps
2125858,6,2026 congressional redistricting maps
2125866,6,2026 congressional redistricting maps
2125869,6,2026 congressional redistricting maps
2125871,6,2026 congressional redistricting maps
2125862,6,2026 congressional redistricting maps
2125864,6,2026 congressional redistricting maps
2125867,6,2026 congressional redistricting maps
2125874,6,2026 congressional redistricting maps
