market_id,cluster_id,cluster_label
573827,1,Claude 5 release
573828,1,Claude 5 release
1320787,1,Claude 5 release
1333241,1,Claude 5 release
1336694,1,Claude 5 release
1363116,1,Claude 5 release
1363115,1,Claude 5 release
1748641,1,Claude 5 release
1748840,1,Claude 5 release
2169806,1,Claude 5 release
1162139,14,FDA drug approval (Retatrutide)
1743765,8,Claude Mythos release
1743767,8,Claude Mythos release
1744124,8,Claude Mythos release
573825,5,GPT-6 release
573826,5,GPT-6 release
676828,5,GPT-6 release
676829,5,GPT-6 release
1333258,5,GPT-6 release
546611,9,OpenAI consumer hardware launch
546612,9,OpenAI consumer hardware launch
676804,9,OpenAI consumer hardware launch
2110293,4,Gemini release
2110294,4,Gemini release
2125427,4,Gemini release
2125429,4,Gemini release
2125428,4,Gemini release
675595,2,Waymo robotaxi city expansion
675597,2,Waymo robotaxi city expansion
675599,2,Waymo robotaxi city expansion
675601,2,Waymo robotaxi city expansion
675596,2,Waymo robotaxi city expansion
675598,2,Waymo robotaxi city expansion
675600,2,Waymo robotaxi city expansion
675602,2,Waymo robotaxi city expansion
676451,2,Waymo robotaxi city expansion
2361492,6,Claude 4.8 release
2361490,6,Claude 4.8 release
2361493,6,Claude 4.8 release
2361491,6,Claude 4.8 release
2125755,3,GPT-5.6 release
2132399,3,GPT-5.6 release
2132400,3,GPT-5.6 release
2100069,3,GPT-5.6 release
2100070,3,GPT-5.6 release
2303132,3,GPT-5.6 release
2268845,3,GPT-5.6 release
2294941,3,GPT-5.6 release
920401,12,Apple iPhone releases
2160164,10,US AI regulation / oversight
2363609,10,US AI regulation / oversight
2100840,15,Musk v. OpenAI/Altman lawsuit
1509260,11,Anthropic-Pentagon deal
2034722,11,Anthropic-Pentagon deal
2097648,11,Anthropic-Pentagon deal
921947,12,Apple iPhone releases
2132422,0,AI model leaderboard (Chatbot Arena)
2132424,0,AI model leaderboard (Chatbot Arena)
2132423,0,AI model leaderboard (Chatbot Arena)
2169894,0,AI model leaderboard (Chatbot Arena)
2169896,0,AI model leaderboard (Chatbot Arena)
676842,10,US AI regulation / oversight
611054,13,Tesla Optimus release
1243588,13,Tesla Optimus release
1087073,0,AI model leaderboard (Chatbot Arena)
1087074,0,AI model leaderboard (Chatbot Arena)
1087075,0,AI model leaderboard (Chatbot Arena)
1370549,0,AI model leaderboard (Chatbot Arena)
1370551,0,AI model leaderboard (Chatbot Arena)
920846,4,Gemini release
653788,16,AGI milestone
1285711,7,FrontierMath benchmark (Claude)
1285713,7,FrontierMath benchmark (Claude)
1285712,7,FrontierMath benchmark (Claude)
1285714,7,FrontierMath benchmark (Claude)
negrisk::100229,17,Warner Bros. acquisition
negrisk::206787,0,AI model leaderboard (Chatbot Arena)
negrisk::376442,0,AI model leaderboard (Chatbot Arena)
negrisk::376503,0,AI model leaderboard (Chatbot Arena)
negrisk::376512,0,AI model leaderboard (Chatbot Arena)
negrisk::376520,0,AI model leaderboard (Chatbot Arena)
negrisk::414034,0,AI model leaderboard (Chatbot Arena)
negrisk::414059,0,AI model leaderboard (Chatbot Arena)
negrisk::57704,0,AI model leaderboard (Chatbot Arena)
negrisk::57705,0,AI model leaderboard (Chatbot Arena)
negrisk::57708,0,AI model leaderboard (Chatbot Arena)
negrisk::78470,2,Waymo robotaxi city expansion
