max_spread,exit_target,half_spread_mult,n_trades,n_closed,n_TP,n_FC,n_MH,n_EOP,total_$,closed_$,pnl_per_trade_$,closed_ppt_$,pnl_per_share_c,hit_rate,mean_hold_d,median_hold_d,mean_S_entry
0.015,0.06,0.5,17,8,8,0,0,9,269.0,328.0,15.8,41.0,3.16,1.0,8.4,7.1,0.015
0.015,0.06,1.0,11,3,3,0,0,8,51.0,104.0,4.7,34.5,0.93,1.0,10.2,7.1,0.0155
0.015,0.06,2.0,9,2,2,0,0,7,13.0,64.0,1.4,32.2,0.29,1.0,11.6,10.5,0.0153
0.015,0.08,0.5,22,12,12,0,0,10,530.0,599.0,24.1,49.9,4.82,1.0,7.9,7.0,0.0181
0.015,0.08,1.0,16,6,6,0,0,10,143.0,226.0,8.9,37.7,1.79,1.0,9.0,7.0,0.0176
0.015,0.08,2.0,11,3,3,0,0,8,24.0,94.0,2.2,31.5,0.44,1.0,10.4,7.1,0.017
0.015,0.1,0.5,24,12,12,0,0,12,525.0,635.0,21.9,52.9,4.37,1.0,8.5,6.8,0.0195
0.015,0.1,1.0,18,7,7,0,0,11,196.0,317.0,10.9,45.3,2.18,1.0,9.7,9.1,0.0185
0.015,0.1,2.0,12,3,3,0,0,9,17.0,108.0,1.4,36.1,0.29,1.0,10.9,10.9,0.0188
0.015,0.15,0.5,25,12,12,0,0,13,679.0,791.0,27.2,65.9,5.43,1.0,9.8,6.9,0.0254
0.015,0.15,1.0,24,11,11,0,0,13,540.0,699.0,22.5,63.5,4.5,1.0,10.1,7.1,0.0196
0.015,0.15,2.0,14,3,3,0,0,11,20.0,171.0,1.5,57.1,0.29,1.0,13.7,13.2,0.0192
0.015,0.2,0.5,25,10,10,0,0,15,828.0,885.0,33.1,88.5,6.63,1.0,11.2,7.2,0.0254
0.015,0.2,1.0,25,10,10,0,0,15,675.0,792.0,27.0,79.2,5.4,1.0,11.2,7.2,0.0254
0.015,0.2,2.0,18,5,5,0,0,13,196.0,344.0,10.9,68.9,2.18,1.0,13.2,12.8,0.02
0.02,0.06,0.5,23,13,13,0,0,10,356.0,420.0,15.5,32.3,3.09,1.0,7.7,6.0,0.0165
0.02,0.06,1.0,15,6,6,0,0,9,105.0,166.0,7.0,27.7,1.39,1.0,9.7,6.0,0.017
0.02,0.06,2.0,10,3,3,0,0,7,32.0,92.0,3.2,30.8,0.64,1.0,12.5,8.8,0.0174
0.02,0.08,0.5,28,17,17,0,0,11,678.0,751.0,24.2,44.2,4.84,1.0,7.5,5.6,0.0191
