max_spread,exit_target,half_spread_mult,n_trades,n_closed,n_TP,n_FC,n_MH,n_EOP,total_$,closed_$,pnl_per_trade_$,closed_ppt_$,pnl_per_share_c,hit_rate,mean_hold_d,median_hold_d,mean_S_entry,nbr_mean_ppt,nbr_std_ppt
0.015,0.06,1.0,11,3,3,0,0,8,51.0,104.0,4.7,34.5,0.93,1.0,10.2,7.1,0.0155,6.9,1.7
0.015,0.08,1.0,16,6,6,0,0,10,143.0,226.0,8.9,37.7,1.79,1.0,9.0,7.0,0.0176,9.0,2.7
0.015,0.1,1.0,18,7,7,0,0,11,196.0,317.0,10.9,45.3,2.18,1.0,9.7,9.1,0.0185,13.8,5.2
0.015,0.15,1.0,24,11,11,0,0,13,540.0,699.0,22.5,63.5,4.5,1.0,10.1,7.1,0.0196,20.9,6.0
0.015,0.2,1.0,25,10,10,0,0,15,675.0,792.0,27.0,79.2,5.4,1.0,11.2,7.2,0.0254,26.0,2.6
0.02,0.06,1.0,15,6,6,0,0,9,105.0,166.0,7.0,27.7,1.39,1.0,9.7,6.0,0.017,7.8,2.5
0.02,0.08,1.0,20,9,9,0,0,11,232.0,324.0,11.6,36.0,2.32,1.0,8.9,6.4,0.0185,10.5,2.2
0.02,0.1,1.0,24,11,11,0,0,13,304.0,428.0,12.7,38.9,2.53,1.0,8.8,7.0,0.02,14.5,4.5
0.02,0.15,1.0,29,13,13,0,0,16,676.0,810.0,23.3,62.3,4.66,1.0,10.6,7.3,0.021,22.7,5.5
0.02,0.2,1.0,30,12,12,0,0,18,857.0,950.0,28.6,79.1,5.71,1.0,12.3,9.0,0.0258,27.3,2.6
0.03,0.06,1.0,22,13,13,0,0,9,177.0,256.0,8.0,19.7,1.61,1.0,9.5,5.3,0.0236,8.6,2.3
0.03,0.08,1.0,26,14,14,0,0,12,325.0,452.0,12.5,32.3,2.5,1.0,9.9,5.6,0.0244,12.1,2.3
0.03,0.1,1.0,32,18,18,0,0,14,455.0,603.0,14.2,33.5,2.85,1.0,9.3,5.6,0.0275,16.4,5.3
0.03,0.15,1.0,36,19,19,0,0,17,957.0,1135.0,26.6,59.8,5.32,1.0,11.2,6.8,0.0272,23.8,5.4
0.03,0.2,1.0,37,17,17,0,0,20,1124.0,1238.0,30.4,72.8,6.08,1.0,13.1,10.7,0.0329,27.7,1.9
0.05,0.06,1.0,26,16,16,0,0,10,175.0,268.0,6.7,16.7,1.34,1.0,8.7,4.4,0.0278,9.6,3.3
0.05,0.08,1.0,41,29,29,0,0,12,584.0,745.0,14.2,25.7,2.85,1.0,7.3,2.4,0.0355,12.3,3.5
0.05,0.1,1.0,48,34,34,0,0,14,766.0,969.0,16.0,28.5,3.19,1.0,8.1,3.1,0.0381,17.2,4.2
0.05,0.15,1.0,48,26,26,0,0,22,1172.0,1416.0,24.4,54.4,4.88,1.0,11.2,5.9,0.0373,23.1,4.2
0.05,0.2,1.0,47,21,21,0,0,26,1188.0,1372.0,25.3,65.3,5.05,1.0,13.4,10.7,0.0441,26.7,2.6
