slug,question,category,cluster_id,cluster_label,market_volume,degree
openai-ipo-before-2027,OpenAI IPO before 2027?,business-finance,0,OpenAI,263792.2959520003,56
will-openai-ipo-by-december-31-2025,Will OpenAI IPO by December 31 2025?,business-finance,0,OpenAI,495527.497211,56
will-openai-ipo-by-june-30-2026,Will OpenAI IPO by June 30 2026?,business-finance,0,OpenAI,532716.8637789997,56
will-openai-ipo-by-december-31-2026,Will OpenAI IPO by December 31 2026?,business-finance,0,OpenAI,599230.6456029991,56
will-openai-ipo-by-july-31-2026,Will OpenAI IPO by July 31 2026?,business-finance,0,OpenAI,32348.51111600001,56
will-openai-ipo-by-september-30-2026,Will OpenAI IPO by September 30 2026?,business-finance,0,OpenAI,19864.550337,56
will-openai-ipo-by-august-31-2026,Will OpenAI IPO by August 31 2026?,business-finance,0,OpenAI,20104.14434999998,56
openai-ipo-closing-market-cap-above-800b,OpenAI IPO closing market cap above $800B?,business-finance,0,OpenAI,97741.18995500026,56
openai-ipo-closing-market-cap-above-1t,OpenAI IPO closing market cap above $1T?,business-finance,0,OpenAI,1044237.64843,56
openai-ipo-closing-market-cap-above-1pt2t,OpenAI IPO closing market cap above $1.2T?,business-finance,0,OpenAI,248105.5696560002,56
openai-ipo-closing-market-cap-above-1pt6t,OpenAI IPO closing market cap above $1.6T?,business-finance,0,OpenAI,45444.647761000015,56
openai-ipo-closing-market-cap-above-1pt4t,OpenAI IPO closing market cap above $1.4T?,business-finance,0,OpenAI,61923.74869599999,56
will-openais-valuation-hit-high-4pt0t-by-december-31-643,Will OpenAI's valuation hit (HIGH) $4.0T by December 31?,business-finance,0,OpenAI,8656.827319999999,56
will-openais-valuation-hit-high-5pt0t-by-december-31,Will OpenAI's valuation hit (HIGH) $5.0T by December 31?,business-finance,0,OpenAI,8507.520945000011,56
will-openais-valuation-hit-high-2pt5t-by-december-31-538-161,Will OpenAI's valuation hit (HIGH) $2.5T by December 31?,business-finance,0,OpenAI,27672.90005300001,56
will-openais-valuation-hit-high-1pt75t-by-december-31-882-628,Will OpenAI's valuation hit (HIGH) $1.75T by December 31?,business-finance,0,OpenAI,22506.204128000005,56
will-openais-valuation-hit-high-3pt0t-by-december-31-688-311,Will OpenAI's valuation hit (HIGH) $3.0T by December 31?,business-finance,0,OpenAI,10617.813344999999,56
will-openais-valuation-hit-high-2pt0t-by-december-31-937-533,Will OpenAI's valuation hit (HIGH) $2.0T by December 31?,business-finance,0,OpenAI,57113.78675899999,56
will-openais-valuation-hit-high-1pt5t-by-december-31-574-287,Will OpenAI's valuation hit (HIGH) $1.5T by December 31?,business-finance,0,OpenAI,30632.557771999996,56
will-openais-valuation-hit-high-1pt25t-by-december-31-366-424,Will OpenAI's valuation hit (HIGH) $1.25T by December 31?,business-finance,0,OpenAI,38231.33194600001,56
will-openais-valuation-hit-high-900b-by-december-31-942-235,Will OpenAI's valuation hit (HIGH) $900B by December 31?,business-finance,0,OpenAI,45089.478937999986,56
will-openais-valuation-hit-low-750b-by-december-31-995-138,Will OpenAI's valuation hit (LOW) $750B by December 31?,business-finance,0,OpenAI,62658.02724700001,56
will-openais-valuation-hit-low-600b-by-december-31-187-246,Will OpenAI's valuation hit (LOW) $600B by December 31?,business-finance,0,OpenAI,27471.235286999992,56
will-openais-valuation-hit-high-1pt0t-by-december-31-846-461,Will OpenAI's valuation hit (HIGH) $1.0T by December 31?,business-finance,0,OpenAI,35804.841235,56
will-openais-valuation-hit-low-800b-by-december-31-852-948,Will OpenAI's valuation hit (LOW) $800B by December 31?,business-finance,0,OpenAI,57861.79917199999,56
will-openais-valuation-hit-low-700b-by-december-31-939-865,Will OpenAI's valuation hit (LOW) $700B by December 31?,business-finance,0,OpenAI,33355.71802899999,56
will-openais-valuation-hit-low-500b-by-december-31-785-717,Will OpenAI's valuation hit (LOW) $500B by December 31?,business-finance,0,OpenAI,25947.947797000015,56
will-openai-announce-earbuds-or-headphones-in-2026,Will OpenAI announce earbuds or headphones in 2026?,business-finance,0,OpenAI,109774.50382400001,56
will-openai-announce-a-necklace-style-wearable-in-2026,Will OpenAI announce a necklace-style wearable in 2026?,business-finance,0,OpenAI,19100.301192999992,56
will-openai-announce-glasses-in-2026,Will OpenAI announce glasses in 2026?,business-finance,0,OpenAI,45811.38303800001,56
will-openai-announce-a-phone-in-2026,Will OpenAI announce a phone in 2026?,business-finance,0,OpenAI,34106.551061000006,56
will-openai-announce-a-head-mounted-display-in-2026,Will OpenAI announce a head-mounted display in 2026?,business-finance,0,OpenAI,3258.9406919999997,56
will-openai-announce-a-clip-on-device-for-clothing-in-2026,Will OpenAI announce a clip-on device for clothing in 2026?,business-finance,0,OpenAI,24726.61800000001,56
will-openai-announce-a-watch-in-2026,Will OpenAI announce a watch in 2026?,business-finance,0,OpenAI,28917.753237999998,56
will-openai-announce-a-ring-in-2026,Will OpenAI announce a ring in 2026?,business-finance,0,OpenAI,4177.252149999999,56
will-openai-announce-a-tablet-in-2026,Will OpenAI announce a tablet in 2026?,business-finance,0,OpenAI,1824.4081999999999,56
will-openai-announce-a-computer-laptopdesktop-in-2026,Will OpenAI announce a computer (Laptop/Desktop) in 2026?,business-finance,0,OpenAI,13145.585179000003,56
openai-1t-ipo-before-2027,OpenAI $1t+ IPO before 2027?,business-finance,0,OpenAI,274768.4868209992,56
openai-receives-federal-backstop-for-infrastructure-before-july,OpenAI receives federal backstop for infrastructure before July?,business-finance,0,OpenAI,107688.29741599962,56
