slug,question,primary_tag,event_id,market_volume,degree,community_id
will-candidate-r-win-the-2026-maine-governor-democratic-primary-election,Will Candidate R win the 2026 Maine Governor Democratic primary election?,politics,101245,0.0,145,0
will-person-j-be-the-republican-nominee-for-senate-in-georgia,Will Person J be the Republican nominee for Senate in Georgia?,politics,80052,0.0,144,0
will-candidate-j-win-the-2026-colorado-governor-democratic-primary-election-879-418,Will Candidate J win the 2026 Colorado Governor Democratic primary election?,politics,97520,0.0,143,0
will-candidate-j-be-the-republican-nominee-for-senate-in-minnesota-724,Will Candidate J be the Republican nominee for Senate in Minnesota?,politics,95902,0.0,142,0
will-candidate-b-win-the-2026-maine-governor-democratic-primary-election,Will Candidate B win the 2026 Maine Governor Democratic primary election?,politics,101245,0.0,137,0
will-person-j-be-the-republican-nominee-for-senate-in-alabama,Will Person J be the Republican nominee for Senate in Alabama?,politics,80071,0.0,137,0
will-candidate-s-win-the-2026-maine-governor-democratic-primary-election,Will Candidate S win the 2026 Maine Governor Democratic primary election?,politics,101245,0.0,136,0
will-candidate-s-win-the-2026-minnesota-governor-republican-primary-election,Will Candidate S win the 2026 Minnesota Governor Republican primary election?,politics,101865,0.0,135,0
will-candidate-s-win-the-2026-colorado-governor-democratic-primary-election-468-642,Will Candidate S win the 2026 Colorado Governor Democratic primary election?,politics,97520,0.0,134,0
will-candidate-n-win-the-2026-minnesota-governor-republican-primary-election,Will Candidate N win the 2026 Minnesota Governor Republican primary election?,politics,101865,0.0,134,0
will-person-l-be-the-republican-nominee-for-senate-in-georgia,Will Person L be the Republican nominee for Senate in Georgia?,politics,80052,0.0,133,0
will-candidate-y-win-the-2026-minnesota-governor-republican-primary-election,Will Candidate Y win the 2026 Minnesota Governor Republican primary election?,politics,101865,0.0,132,0
will-candidate-c-win-the-2026-minnesota-governor-republican-primary-election,Will Candidate C win the 2026 Minnesota Governor Republican primary election?,politics,101865,0.0,131,0
will-candidate-e-win-the-2026-colorado-governor-democratic-primary-election-154-221,Will Candidate E win the 2026 Colorado Governor Democratic primary election?,politics,97520,0.0,131,0
will-candidate-n-win-the-2026-colorado-governor-democratic-primary-election-645-939,Will Candidate N win the 2026 Colorado Governor Democratic primary election?,politics,97520,0.0,130,0
will-candidate-n-win-the-2026-maine-governor-democratic-primary-election,Will Candidate N win the 2026 Maine Governor Democratic primary election?,politics,101245,0.0,129,0
will-candidate-n-be-the-republican-nominee-for-senate-in-minnesota-338,Will Candidate N be the Republican nominee for Senate in Minnesota?,politics,95902,0.0,129,0
will-candidate-l-be-the-republican-nominee-for-senate-in-minnesota-956,Will Candidate L be the Republican nominee for Senate in Minnesota?,politics,95902,0.0,128,0
will-candidate-a-win-the-2026-maine-governor-democratic-primary-election,Will Candidate A win the 2026 Maine Governor Democratic primary election?,politics,101245,0.0,127,0
will-candidate-m-win-the-2026-colorado-governor-democratic-primary-election-853-753,Will Candidate M win the 2026 Colorado Governor Democratic primary election?,politics,97520,0.0,127,0
will-candidate-a-win-the-2026-colorado-governor-democratic-primary-election-475-979,Will Candidate A win the 2026 Colorado Governor Democratic primary election?,politics,97520,0.0,127,0
will-candidate-r-win-the-2026-colorado-governor-democratic-primary-election-555-264,Will Candidate R win the 2026 Colorado Governor Democratic primary election?,politics,97520,0.0,126,0
will-candidate-k-win-the-2026-colorado-governor-democratic-primary-election-164-526,Will Candidate K win the 2026 Colorado Governor Democratic primary election?,politics,97520,0.0,124,0
will-candidate-c-win-the-2026-maine-governor-democratic-primary-election,Will Candidate C win the 2026 Maine Governor Democratic primary election?,politics,101245,0.0,123,0
will-candidate-l-win-the-2026-colorado-governor-democratic-primary-election-345-544,Will Candidate L win the 2026 Colorado Governor Democratic primary election?,politics,97520,0.0,123,0
will-candidate-b-win-the-2026-colorado-governor-democratic-primary-election-425-582,Will Candidate B win the 2026 Colorado Governor Democratic primary election?,politics,97520,0.0,123,0
will-candidate-w-win-the-2026-colorado-governor-democratic-primary-election-185-355,Will Candidate W win the 2026 Colorado Governor Democratic primary election?,politics,97520,0.0,122,0
will-candidate-j-win-the-2026-maine-governor-democratic-primary-election,Will Candidate J win the 2026 Maine Governor Democratic primary election?,politics,101245,0.0,122,0
will-candidate-y-win-the-2026-maine-governor-democratic-primary-election,Will Candidate Y win the 2026 Maine Governor Democratic primary election?,politics,101245,0.0,122,0
will-candidate-y-win-the-2026-colorado-governor-democratic-primary-election-373-117,Will Candidate Y win the 2026 Colorado Governor Democratic primary election?,politics,97520,0.0,122,0
will-candidate-r-win-the-2026-iowa-governor-democratic-primary-election,Will Candidate R win the 2026 Iowa Governor Democratic primary election?,elections,101229,0.0,121,0
will-candidate-j-win-the-2026-iowa-governor-democratic-primary-election,Will Candidate J win the 2026 Iowa Governor Democratic primary election?,elections,101229,0.0,121,0
will-candidate-t-win-the-2026-colorado-governor-democratic-primary-election-486-551,Will Candidate T win the 2026 Colorado Governor Democratic primary election?,politics,97520,0.0,121,0
will-player-a-be-the-republican-nominee-for-senate-in-south-carolina,Will Player A be the Republican nominee for Senate in South Carolina?,elections,45021,0.0,121,0
will-candidate-l-win-the-2026-maine-governor-democratic-primary-election,Will Candidate L win the 2026 Maine Governor Democratic primary election?,politics,101245,0.0,121,0
will-candidate-q-win-the-2026-colorado-governor-democratic-primary-election-285-479,Will Candidate Q win the 2026 Colorado Governor Democratic primary election?,politics,97520,0.0,120,0
will-candidate-l-be-the-democratic-nominee-for-senate-in-florida,Will Candidate L be the Democratic nominee for Senate in Florida?,politics,95921,0.0,120,0
will-candidate-w-win-the-2026-maine-governor-democratic-primary-election,Will Candidate W win the 2026 Maine Governor Democratic primary election?,politics,101245,0.0,120,0
will-person-n-be-the-republican-nominee-for-senate-in-alabama,Will Person N be the Republican nominee for Senate in Alabama?,politics,80071,0.0,119,0
will-candidate-t-win-the-2026-minnesota-governor-republican-primary-election,Will Candidate T win the 2026 Minnesota Governor Republican primary election?,politics,101865,0.0,119,0
will-candidate-d-win-the-2026-colorado-governor-democratic-primary-election-216-147,Will Candidate D win the 2026 Colorado Governor Democratic primary election?,politics,97520,0.0,119,0
will-person-n-be-the-republican-nominee-for-senate-in-georgia,Will Person N be the Republican nominee for Senate in Georgia?,politics,80052,0.0,119,0
