z_enter,d_min,n,total_$,mean_$,hit
-1.25,0.05,479,6054.0,12.6,0.636
-1.5,0.05,428,5888.0,13.8,0.641
-1.75,0.05,373,5827.0,15.6,0.647
-2.0,0.05,335,5411.0,16.2,0.652
-1.5,0.03,554,4880.0,8.8,0.545
-1.25,0.03,632,4854.0,7.7,0.537
-1.75,0.03,476,4825.0,10.1,0.55
-2.0,0.03,417,4443.0,10.7,0.57
-2.5,0.05,245,4418.0,18.0,0.649
-2.5,0.03,304,3985.0,13.1,0.58
-1.75,0.02,541,3906.0,7.2,0.489
-2.0,0.02,468,3758.0,8.0,0.51
-1.5,0.02,631,3721.0,5.9,0.474
-2.5,0.02,339,3667.0,10.8,0.526
-1.25,0.02,736,3464.0,4.7,0.461
