market_id,micro_group_id,group_label,relationship,rank,confidence,rationale
546805,geopolitics-1,Will Russia capture Kostyantynivka,IMPLIES,0,high,"Same event, different deadlines; earlier deadline is subset of later."
575194,geopolitics-1,Will Russia capture Kostyantynivka,IMPLIES,1,high,"Same event, different deadlines; earlier deadline is subset of later."
2159718,geopolitics-1,Will Russia capture Kostyantynivka,IMPLIES,1,high,"Same event, different deadlines; earlier deadline is subset of later."
560560,geopolitics-1,Will Russia capture Kostyantynivka,IMPLIES,2,high,"Same event, different deadlines; earlier deadline is subset of later."
642526,geopolitics-1,Will Russia capture Kostyantynivka,IMPLIES,3,high,"Same event, different deadlines; earlier deadline is subset of later."
546806,geopolitics-1,Will Russia capture Kostyantynivka,IMPLIES,4,high,"Same event, different deadlines; earlier deadline is subset of later."
898678,geopolitics-1,Will Russia capture Kostyantynivka,IMPLIES,5,high,"Same event, different deadlines; earlier deadline is subset of later."
956942,geopolitics-1,Will Russia capture Kostyantynivka,IMPLIES,6,high,"Same event, different deadlines; earlier deadline is subset of later."
677361,geopolitics-1,Will Russia capture Kostyantynivka,IMPLIES,7,high,"Same event, different deadlines; earlier deadline is subset of later."
1397301,geopolitics-1,Will Russia capture Kostyantynivka,IMPLIES,8,high,"Same event, different deadlines; earlier deadline is subset of later."
2047653,geopolitics-1,Will Russia capture Kostyantynivka,IMPLIES,9,high,"Same event, different deadlines; earlier deadline is subset of later."
1397260,geopolitics-1,Will Russia capture Kostyantynivka,IMPLIES,10,high,"Same event, different deadlines; earlier deadline is subset of later."
677366,geopolitics-1,Will Russia capture Kostyantynivka,IMPLIES,11,high,"Same event, different deadlines; earlier deadline is subset of later."
642531,geopolitics-2,Will Russia capture Lyman,IMPLIES,0,high,"Same event, different deadlines; earlier deadline is subset of later."
566493,geopolitics-2,Will Russia capture Lyman,IMPLIES,1,high,"Same event, different deadlines; earlier deadline is subset of later."
1006891,geopolitics-2,Will Russia capture Lyman,IMPLIES,2,high,"Same event, different deadlines; earlier deadline is subset of later."
1249612,geopolitics-2,Will Russia capture Lyman,IMPLIES,3,high,"Same event, different deadlines; earlier deadline is subset of later."
1006892,geopolitics-2,Will Russia capture Lyman,IMPLIES,4,high,"Same event, different deadlines; earlier deadline is subset of later."
1397302,geopolitics-2,Will Russia capture Lyman,IMPLIES,5,high,"Same event, different deadlines; earlier deadline is subset of later."
2053573,geopolitics-2,Will Russia capture Lyman,IMPLIES,6,high,"Same event, different deadlines; earlier deadline is subset of later."
