market_id,micro_group_id,group_label,relationship,rank,confidence,rationale
521532,politics-1,Starmer out as UK PM deadline ladder,IMPLIES,1,med,Same event (Starmer ceases to be PM); earlier deadline implies later (minor start-window differences).
1336699,politics-1,Starmer out as UK PM deadline ladder,IMPLIES,2,med,Same event (Starmer ceases to be PM); earlier deadline implies later (minor start-window differences).
1359701,politics-1,Starmer out as UK PM deadline ladder,IMPLIES,3,med,Same event (Starmer ceases to be PM); earlier deadline implies later (minor start-window differences).
1500922,politics-1,Starmer out as UK PM deadline ladder,IMPLIES,4,med,Same event (Starmer ceases to be PM); earlier deadline implies later (minor start-window differences).
2002685,politics-1,Starmer out as UK PM deadline ladder,IMPLIES,5,med,Same event (Starmer ceases to be PM); earlier deadline implies later (minor start-window differences).
2251595,politics-1,Starmer out as UK PM deadline ladder,IMPLIES,6,med,Same event (Starmer ceases to be PM); earlier deadline implies later (minor start-window differences).
2231205,politics-1,Starmer out as UK PM deadline ladder,IMPLIES,7,med,Same event (Starmer ceases to be PM); earlier deadline implies later (minor start-window differences).
2365092,politics-1,Starmer out as UK PM deadline ladder,IMPLIES,8,med,Same event (Starmer ceases to be PM); earlier deadline implies later (minor start-window differences).
597967,politics-1,Starmer out as UK PM deadline ladder,IMPLIES,9,med,Same event (Starmer ceases to be PM); earlier deadline implies later (minor start-window differences).
2365093,politics-1,Starmer out as UK PM deadline ladder,IMPLIES,10,med,Same event (Starmer ceases to be PM); earlier deadline implies later (minor start-window differences).
666655,politics-1,Starmer out as UK PM deadline ladder,IMPLIES,11,med,Same event (Starmer ceases to be PM); earlier deadline implies later (minor start-window differences).
581644,politics-2,French snap election called deadline ladder,IMPLIES,1,high,Same event; an earlier deadline strictly implies every later deadline.
623607,politics-2,French snap election called deadline ladder,IMPLIES,2,high,Same event; an earlier deadline strictly implies every later deadline.
623608,politics-2,French snap election called deadline ladder,IMPLIES,3,high,Same event; an earlier deadline strictly implies every later deadline.
623307,politics-2,French snap election called deadline ladder,IMPLIES,4,high,Same event; an earlier deadline strictly implies every later deadline.
651769,politics-2,French snap election called deadline ladder,IMPLIES,5,high,Same event; an earlier deadline strictly implies every later deadline.
581639,politics-2,French snap election called deadline ladder,IMPLIES,6,high,Same event; an earlier deadline strictly implies every later deadline.
